title;sector;priority;code;description
Ausbau und Attraktivierung des ÖPNV-Angebots;Verkehr;3;TOP004;Ausbau ÖPNV als Teil der Mobilitätsplanung. Zu einem konsequenten Ausbau und einer besseren Qualitätgehören z.B. diese Maßnahmen: [NEWLINE]• Streckenausbau des ÖPNV: konsequenter Ausbau kommuneneigener Linien und Einsatz für eineErweiterung des Angebots beim Land bzw. beim regionalen Verkehrsverbund [NEWLINE]• verstärkte und integrierte Taktung des bestehenden ÖPNV: Abstimmung mit regionalem undüberregionalem Mobilitätsangebot [NEWLINE]• Einrichtung und Ausbau von mobility hubs und Sharing Systemen für schnellere Mobilität über MIV hinaus
Einkauf Elektrobusse für den ÖPNV ;Verkehr;3;TOP005;Ausarbeitung eines Elektrifizierungsfahrplans des öffentlichen Bus- und Bahnangebots inkl. etwaigerAkquirierung von Landes- und Bundes-Fördergeldern. Neben der Umstellung auf nichtfossil betriebene Busse(v.a. e-Motoren, ggf. auch Wasserstoff) bedarf es einem zeitigen Ausbau der Ladeinfrastruktur.
Reduktion der Flächen für den Individualverkehr;Verkehr;3;TOP006;Die Verkehrswende gelingt durch die Kombination von sogenannten push- und pull-Maßnahmen. Ohne dieEinschränkung des motorisierten Individualverkehrs wird es nicht gehen. Daher braucht es konsequenteMaßnahmen, um dessen Attraktivität zu reduzieren. Dazu gehört z.B. [NEWLINE]• Einrichtung eines flächendeckendes Parkraummanagements [NEWLINE]• Änderung des Stellplatzschlüssels je Wohneinheit [NEWLINE]• Reduktion des Straßenraums für MIV, z.B. Einrichtung von Einbahnstraßen, Verlagerung von Autospuren zumUmweltverbund verlagern [NEWLINE]• Einrichtung von autofreien bzw. autoarmen Quartieren, z.B. nach dem Superblocks-System oder durch dieEinführung einer Umweltzone
Umstellung kommunaler Fuhrpark und Angebote für Mitarbeiter:innen;Verkehr;3;TOP007;Die Verwaltung sollte Vorbild für andere Akteure der Stadtgesellschaft sein und ihr Mobilitätsverhalten nach denPrinzipien der Verkehrswende – verringern, verlagern, verbessern – umstellen. [NEWLINE]• Verringerung von Dienstfahrten der Verwaltungsmitarbeitenden, z.B. durch Ermöglichung von Home Office [NEWLINE]• Verlagerung von Dienstfahrten auf den Umweltverbund durch Monatstickets für den ÖPNV bzw. betrieblicheNutzung des ÖPNV und Bereitstellung z.B. von e-Bikes und Lastenrädern [NEWLINE]• Verbesserung durch Umstieg der kommunalen Flotte auf e-Mobilität inkl. Umstieg der kommunalen (Tochter-)Angebote wie Abfallfahrzeuge
Unterstützung und Begleitung des betrieblichen Mobilitätsmanagements;Verkehr;2;TOP008;Unternehmen und Arbeitgeber:innen haben großen Einfluss darauf, wie die Angestellten zur Arbeit kommen. DieVerwaltung kann einen umweltfreundlichen Arbeitsweg unterstützen, indem sie die Unternehmen beimbetrieblichen Mobilitätsmanagement unterstützt. Dazu gehört z.B. [NEWLINE]• Erstellung einer Mobilitätsanalyse der Mitarbeiter:innen [NEWLINE]• Definition von Zielen und Maßnahmen und Wirkungstestung [NEWLINE]• Einrichtung von Optionen zum Umstieg bzw. Verkehrsreduktion: Betriebsräder, CarPooling, Jobtickets,Ermöglichung von Home Office etc.
Schaffung von Anreizen für reduzierte PKW-Nutzung;Verkehr;2;TOP009;Das eigene Auto ist und bleibt ein sehr attraktives Verkehrsmittel. Daher kann die Kommune zusätzlich denVerzicht aufs eigene Auto belohnen, z.B. durch [NEWLINE]• eine Abwrackprämie oder Umstiegsprämie auf ÖPNV [NEWLINE]• vergünstigte ÖPNV-Angebote für unterschiedliche einkommensschwache Bevölkerungsgruppen
Ausbau e-Ladestruktur;Verkehr;2;TOP010;Nicht nur der kommunale Verkehr muss elektrifiziert werden. Um einen privaten flächendeckenden Umstieg aufe-Mobilität zu ermöglichen, kann die Kommune den Ausbau der e-Ladestruktur voranbringen. Dazu gehörtz.B. [NEWLINE]• Aufbau öffentlicher Infrastruktur nach Analyse von Potenzialen und Bedarfen [NEWLINE]• Informationskampagne und Serviceangebot der Stadtwerke zu privaten Wallboxen
Umstellung des Verpflegungsangebots in Kantinen mit öffentlicher Trägerschaft;Landwirtschaft;3;TOP001;• Die Kommune kann für Nahrungsmittel bestimmte prozentuale Mindestanteile festlegen, die z.B. ausbiologischer Landwirtschaft stammen müssen. [NEWLINE]• sowohl für den Direkteinkauf als auch für die Vergabe von Catering-Aufträgen. [NEWLINE]• Die öffentliche Gemeinschaftsverpflegung hat einen hohen Versorgungsgrat und daher einen Hebel zurVeränderung der Essroutinen
Aufbau einer Wissensplattform für Landwirt:innen über klimaschonende Praktiken;Landwirtschaft;3;TOP002;• Schaffung einer umfangreichen Wissenssammlung zu klimaschonenden Praktiken in der LW (Düngen,Bodenerosion, etc.) [NEWLINE]• idealerweise konkrete Verknüpfung von neusten Forschungserkenntnissen mit (regionalen)Realerfahrungen [NEWLINE]• Übersetzung der konzentrierten Informationen in umsetzbare Maßnahmen [NEWLINE]• Verzahnung zwischen Wissensangebot und Beratungsangebot (s. nächste Folie)
Beratungs- und Förderangebote zur Umstellung auf ökologische und regenerative Landwirtschaft;Landwirtschaft;3;TOP003;• konkrete Maßnahmenfeststellung und -umsetzungsberatung zur Treibhausgaseinsparung• finanzielle Förderung für die Umsetzung von Projekten gemäß Einsparungspotenzial• Ergänzung zur bisherigen Förderkulisse [NEWLINE]• in Abstimmung mit Landkreis [NEWLINE]• Bereitstellung von Expertise zur Beantragung von Fördermöglichkeiten auf allen Ebenen (EU bis Kommune) [NEWLINE]• wenn vorhanden: Verweis auf Landes- und Landkreisberatungsdienste
Aufbau eines Dialogforums zwischen Landwirtschaft und Stadtgesellschaft;Landwirtschaft;3;TOP004;• Ansprache und Sensibilisierung von Landwirt:innen, Stadtgesellschaft und Entscheidungsträger:innen ausWirtschaft und Verwaltung zu Treibhausgas-Einsparmöglichkeiten in der Landwirtschaft [NEWLINE]• Organisation und Ausrichtung von Kommunikationsforen für Interessierte durch kompetenten Partner(Stiftung, Verein etc.) in Kollaboration mit z.B. Landwirtschaftsamt [NEWLINE]• Inputs und Austausch zu ökologischer bzw. regenerativer Landwirtschaft [NEWLINE]• Vernetzung mit anderen Klimaallianzen aus anderen Sektoren oder aber auf anderer Ebene [NEWLINE]• auf lokales Wissen und Strukturen zurückgreifen, z.B. Ernährungsräte
Ökologische (Weiter-)Erschließung von Pachtflächen;Landwirtschaft;3;TOP005;• Einbeziehung von Ökolandbau bzw. regenerativer Praktiken in Vergabe von landwirtschaftlichenPachtflächen [NEWLINE]• Anpassung der Vergabekriterien kommunaler landwirtschaftlicher Flächen [NEWLINE]• Herantreten an Großverpächter:innen wie bspw. die Kirche (katholische + evangelische Kirche ca. 500.000Hektar)
Kommune fördert urbane Landwirtschaft und zivilgesellschaftliche Initiativen;Landwirtschaft;2;TOP006;• Aktivierung der Stadtgesellschaft zur Sensibilisierung von landwirtschaftlicher Praxis , z.B. durch Umsetzungvon Maßnahmen zur Förderung einer „essbaren Stadt“ (Anlegen öffentlicher Hochbeete, Obststreuwiesenetc.) [NEWLINE]• Förderung von urbanen Gärten und Kampagnen [NEWLINE]• Kombination mit Sichtbarmachung von regionalen bäuerlichen Strukturen möglich: Unterstützung von z.B.Regionalläden
Aufforstung als Klimawald ermöglichen und unterstützen;LULUCF;3;TOP001;rnaufgabe: Erhaltung und Wiederherstellung von klimaangepassten, multifunktionalen Wäldern zum Ausbaus Senkenpotentials. [NEWLINE]ldmanagement durch Förster:innen in kommunalen Forstbetrieben [NEWLINE]Waldumbau hin zu klimaresilienten Mischwäldern [NEWLINE]Analyse des Baum- und Walbestands in Absprache mit unterer Forstbehörde [NEWLINE]rmittlung und Koordination durch Kommune zum Waldumbau [NEWLINE]Stellenschaffung für Umwelt- und Naturschutzangelegenheiten [NEWLINE]Beantragen von Fördermitteln durch die Kommune (z.B. Förderrichtlinie für Natürlichen Klimaschutz inmmunalen Gebieten im ländlichen Raum) [NEWLINE]Regelmäßige Gesprächsrunde mit Nachbarkommunen oder innerhalb des Landkreises [NEWLINE]Koordination von Flächentausch und Flächenkauf (als technische Maßnahme oder als Tauschflächen) [NEWLINE]Nutzung von Landschafts- und Flächennutzungsplänen [NEWLINE]Einbeziehen der Zivilgesellschaft [NEWLINE]
Unterstützung bei der Wiedervernässung von Mooren und organischen Böden;LULUCF;3;TOP002;Koordinierende Rolle der Kommune: Koordination von Flächentausch und Flächenkauf, z.B. über [NEWLINE]• Stellenschaffung: Klima- und Moorschutzmannager:innen [NEWLINE]• Beantragen von Fördermitteln durch die Kommune (z.B. Förderrichtlinie für Natürlichen Klimaschutz inkommunalen Gebieten im ländlichen Raum) [NEWLINE]• Einbindung von Behörden, v.a. untere Wasser-, Naturschutz, und Forstbehörde als wichtigste Behörde undLandrät:innen [NEWLINE]• Gutachten in Auftrag geben, Fortbildungen anbieten, Handreichungen entwickeln [NEWLINE]Förderung von Paludikultur [NEWLINE]• Schaffung von Kooperationsstrukturen zwischen Landwirtschaft, Produktentwicklung, Produktvermarktung,Tourismus und Naturschutz [NEWLINE]• Einbindung der Bevölkerung auf Grund von Veränderungen der Landschaft [NEWLINE]Kooperation mit Landes- und Entwicklungsgesellschaften [NEWLINE]• Aufkauf und Vermittlung von landwirtschaftlich genutzter Fläche > Flächenpool
Flächenschonende Stadtentwicklung;LULUCF;3;TOP003;Nutzung formelle und informelle Instrumente der Stadtplanung [NEWLINE]• Die Flächenneuinanspruchnahme kann sehr gut im Rahmen der Bauleitplanung beeinflusst werden. Das BauGBbildet dabei die Grundlage, dort werden die formellen städteplanerischen Instrumente festgelegt. [NEWLINE]• Entwicklung von städtebaulichen Entwicklungskonzepten zur Flächensparpolitik [NEWLINE]Verhinderung von Versiegelung über städteplanerische Instrumente, z.B. [NEWLINE]• keine Ausweitung von neuen Siedlungs- und Vehrkehrsflächen (insbesondere im Außenbereich) [NEWLINE]• Beeinflussung baulicher Dichte, Nachverdichtung (Umbau/ Ausbau des Dachgeschosses oder Ausbauten imBestand) [NEWLINE]• städtebauliche Verträge mit privaten Investoren od. Bauherren für positive Stadtentwicklung (bspw. Umbau vonParkfläche zu multifunktionalen Grünzonen) [NEWLINE]• konsequente Umsetzung von Ausgleichsfläche in BLP
Schaffung von Biotopverbünden;LULUCF;2;TOP004;• Konkrete Umsetzung und Sicherung der landesweiten Biotopverbundkonzepte: Ausgestaltung derüberregionalen Planungsinstrumente (v.a. Landschaftsrahmenplan) auf lokaler Ebene sowie derenIntegration in die kommunale Planung. [NEWLINE]• Durchführung aktueller Erhebungen, v.a. Biotopkartierungen, Artenschutzprogramme undManagementplanungen in FFH-Gebieten zur Identifikation und Priorisierung naturschutzfachlichbedeutsamer Arten und Lebensräume. [NEWLINE]• Entwicklung und Implementierung konkreter Maßnahmen: Basierend auf den erhobenen Daten müssenMaßnahmen zur Verbesserung der Landschaftsdurchlässigkeit sowie zur Aufwertung und Entwicklung neuerHabitate und Lebensräume umgesetzt werden.
Beschluss Baumschutzkonzept;LULUCF;2;TOP005;Baumschutzkonzepte sollen helfen, den Baumbestand zu schützen und auszubauen. Intakte Bäume spielen einewesentliche Rolle bei der Bindung von Kohlenstoff, der Reduktion des städtischen Wärmeinseleffekts und derVerbesserung der Luftqualität. [NEWLINE]Viele städtische Bäume sind jedoch in einem schlechten Zustand, leiden z.B. an Hitzestress. [NEWLINE]Ein Baumschutzkonzept analysiert den Bestand und definiert Ausbaupfade. Gleichzeitig enthält er Maßnahmenzum akuten Baumschutz.
Energieautarker Betrieb der Kläranlagen;Abfallwirtschaft;3;TOP001;Kommunen können den Betrieb von Kläranlagen auf vielseitige Weise energetisch optimieren: [NEWLINE]• Energieeffizienz: Reduktion des Energieverbrauchs durch effizientere Technologien undProzessoptimierung. [NEWLINE]• Erneuerbare Energien: Installation von Solaranlagen zur Stromerzeugung [NEWLINE]• Biogasproduktion: Gewinnung von Biogas durch anaerobe Behandlung von Klärschlamm, das zur Stromund Wärmeerzeugung genutzt wird. [NEWLINE]• Wärmerückgewinnung: Verwendung der bei der Abwasserbehandlung entstehenden Abwärme.Für die Aktivitäten können Kommunen Fördergelder des Bundes beantragen.
Optimierte Deponieerfassung;Abfallwirtschaft;3;TOP002;Deponiegas, bestehend aus Methan (CH4) und Kohlenstoffdioxid (CO2), entsteht hauptsächlich durch denAbbau von organischen Inhaltsstoffen im Abfall bzw. Hausmüll. [NEWLINE]Die Ausgasung erstreckt sich über viele Jahre. Kommunen können über unterschiedliche öffentlich geförderteMaßnahmen wie Gasreinigung und -aufbereitung oder eine verbesserte Fassung und Behandlung der Gase, dieEmissionen deutlich reduzieren.
Verbesserte Nutzung von Grünschnitt und Bioabfall zur Erzeugung von erneuerbaren Energien und bei der Abfallbehandlung;Abfallwirtschaft;3;TOP003;Je nachdem wie effizient die in der Biomasse gespeicherte Energie im Abfall genutzt wird, trägt dieBioabfallbehandlung mehr oder weniger zum Klimaschutz bei. [NEWLINE]• > 50% der Bioabfälle werden derzeit einfach kompostiert, wobei die enthaltene Energie nicht genutzt wird [NEWLINE]• die Kommunen sollten den Anteil der Vergärung durch Biogasgewinnung erhöhen, v.a. für Bioabfälle ausHaushalten
Herstellung von Pflanzenkohle durch Pyrolyse;Abfallwirtschaft;3;TOP004;Bei der Pyrolyse werden Grünabfälle wie Gartenabfälle, Holzreste etc. verkohlt. Der Kohlenstoff wird dabeilangfristig in der Biomasse gespeichert und fungiert so als Kohlenstoffsenke. Gleichzeitig kann die bei derVerkohlung entstehende Wärme z.B. für ein Wärmenetz genutzt werden. [NEWLINE]• Kommunaler und privater Grünschnitt kann für die Herstellung von Pflanzenkohle gesammelt werden. Dafürmuss im ersten Schritt eine Bestandsaufnahme (Monitoring) der kommunal verfügbaren Biomasse-Abfälleerfolgen. [NEWLINE]• Die Kommune kann gemeinsam mit dem Abfallbetrieb den Aufbau einer Pyrolyseanlage prüfen, ggf. eignetsich auch eine Anlage auf Landkreisebene. [NEWLINE]• Die Pflanzenkohle kann im Stadtgebiet als Dünger eingesetzt werden, sie eignet sich außerdem zurSpeicherung von Wasser und Nährstoffen.
Aufbau lokaler Klimaschutz-Allianzen;Industrie/Wirtschaft;3;TOP001;• Lokales Unternehmensnetzwerk von Unternehmen zum Thema Klimaschutz gründen, z.B. Unternehmensnetzwerkfür Klimaneutralität 2030. [NEWLINE]• Durch gute lokale Vernetzung werden Potentiale sichtbar, die Unternehmen gemeinsam heben können (z.B. kanndie Abwärme des einen Betriebs im anderen Betrieb genutzt werden, etc.) [NEWLINE]• Austausch über korrekte CO2 Bilanzierung und Tools für Monitoring [NEWLINE]• Gemeinsame Lobbyarbeit: Was brauchen die Unternehmen vom Stadtrat / Gemeinderat, damit Sie klimaneutralwerden können? [NEWLINE]• Auch eine vertrauliche Runde, in der Unternehmensvertreter sich vertraulich austauschen können, kann hilfreichsein (Beispiel Mannheim)
Energieverbrauch kommunaler Krankenhäuser (oder anderer kommunaler Liegenschaften) senken;Industrie/Wirtschaft;3;TOP002;• Krankenhäuser werden teilweise von den Kommunen selbst betrieben, die Kommune und die entsprechendeVerwaltung hat hier großen Einfluss und Gestaltungsspielraum. [NEWLINE]• Klimaschutzmanagement und Energiemanagement einführen, damit relevante Maßnahmen erkannt und priorisiertwerden können [NEWLINE]• Energieverbrauch senken durch effizientere Geräte (z.B. Waschmaschinen und Wäschetrockner),Gebäudemodernisierung (Dämmung) oder intelligentere Steuerungen (Lichter und andere Geräte ausschalten)
Koordinierte Beratung für Unternehmen und Industrie;Industrie/Wirtschaft;3;TOP003;"• Eine von der Kommune angebotene ""offizielle"" Energieberatung genießt ein hohes Vertrauen in Industrie undBetrieben [NEWLINE]• Energieberatung gezielt für Unternehmen anbieten [NEWLINE]• Auf entsprechende Fördermöglichkeiten aus Bundesmitteln hinweisen/ diese konsequent nutzen [NEWLINE]• Bildungsarbeit leisten, um Hemmnisse für Investitionen in Energiesparmaßnahmen und Klimaschutzmaßnahmen zureduzieren"
Kreislaufwirtschaft und nachhaltige Baustoffe im Baubereich;Industrie/Wirtschaft;2;TOP004;Der Bausektor gehört zu den ressourcenintensivsten Wirtschaftssektoren: 2018 fielen etwa 219 Millionen TonnenBauabfälle an – und machten damit mehr als die Hälfte des Gesamtabfallaufkommens in Deutschland aus. [NEWLINE]• Anpassung kommunaler Vergabeverfahren [NEWLINE]• Einführung ökologischer Richtlinien für Baustoffe [NEWLINE]• Dokumentation der Lebenszyklen von in Gebäuden verbauten Materialien bei großen öffentlichenNeubauvorhaben und bei selektivem Rückbau, zum Beispiel in einem Gebäudepass
Einrichtung von Materiallagern und Bauteilkatalogen für gebrauchte Bauteile;Industrie/Wirtschaft;2;TOP005;Der Bausektor gehört zu den ressourcenintensivsten Wirtschaftssektoren: 2018 fielen etwa 219 Millionen TonnenBauabfälle an – und machten damit mehr als die Hälfte des Gesamtabfallaufkommens in Deutschland aus. [NEWLINE]• Einrichtung von Materiallagern und Bauteilkatalogen für gebrauchte Bauteile (aus dem Bausektor) [NEWLINE]• Kommune richtet Lager für Stahlträger etc. ein [NEWLINE]• Durch wiederholtes einsetzen der Bauteile werden Ressourcen und Emissionen gespart [NEWLINE]• Bauteile, die normal neu produziert werden müssten, können wiederverwendet werden
